Ville,Département,N° Dépt,Région,Population,Superficie (km²),Code postal,Particularité locale
Montpellier,Hérault,34,Occitanie,300 000,57,34000,"Ville étudiante, architecture moderne et médiévale"
Grenoble,Isère,38,Auvergne-Rhône-Alpes,160 000,18,38000,"Capitale des Alpes, ville scientifique"
Le Havre,Seine-Maritime,76,Normandie,170 000,47,76600,"Port important, architecture Perret classée UNESCO"
Dijon,Côte-d'Or,21,Bourgogne-Franche-Comté,155 000,40,21000,"Capitale de la moutarde, patrimoine médiéval"
Reims,Marne,51,Grand Est,185 000,47,51100,"Ville du sacre des rois, champagne"
Clermont-Ferrand,Puy-de-Dôme,63,Auvergne-Rhône-Alpes,145 000,43,63000,"Volcans d’Auvergne, siège de Michelin"
Tours,Indre-et-Loire,37,Centre-Val de Loire,135 000,34,37000,"Châteaux de la Loire, ville d’art et d’histoire"
Amiens,Somme,80,Hauts-de-France,135 000,49,80000,"Cathédrale gothique, hortillonnages"
Pau,Pyrénées-Atlantiques,64,Nouvelle-Aquitaine,77 000,31,64000,"Vue sur les Pyrénées, ville royale"
Annecy,Haute-Savoie,74,Auvergne-Rhône-Alpes,135 000,67,74000,"Lac d’Annecy, ville surnommée la Venise des Alpes"
